2
2               2               2
4               6               6
6              15              15
8              20              20
10              27              27
12              54              54
14              69              69
16              83              83
18              99              99
20             156             156
22             101             101
24             163             163
26             206             206
28             222             222
30             196             196
32             241             241
34             365             365
36             373             373
38             417             417
40             417             417
42             451             451
44             524             524
46             682             682
48             531             531
50             566             566
52             717             717
54             754             754
56             834             834
58             820             820
60             861             861
62             973             973
64            1261            1261
